TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PETZ3;11,65;0,45;76,64;3,02;1,56;48,38;6,98;3,06;33,63;31,65;-2,06;-0,19;2,35;8,74;-2,47;1,95;3,94;2,04;6,96;0,52;0,48;0,66;;;107.895.774,58;3,83;0,15;1,98;5.359.067.388,45
PGMN3;5,08;;17,62;1,04;0,35;32,19;4,53;1,62;6,31;8,14;1,81;0,30;0,29;1,94;-0,71;1,55;5,89;1,99;10,23;0,34;0,66;1,23;6,32;25,12;4.512.342,63;4,90;0,29;-0,53;2.263.283.416,20
PLPL3;2,71;5,95;5,17;1,67;0,40;29,70;10,76;8,40;4,04;5,08;0,99;0,41;0,43;0,57;-3,68;4,90;32,25;7,78;14,56;0,24;0,76;0,93;;;1.288.986,92;1,63;0,52;-0,15;561.704.000,00
PNVL3;11,98;1,46;22,55;1,69;0,72;30,55;3,03;2,36;17,59;23,81;6,14;0,59;0,53;3,17;-1,72;1,65;7,47;3,21;5,25;0,43;0,57;1,36;8,67;8,49;6.017.452,38;7,10;0,53;0,78;1.807.537.321,62
POMO4;2,60;1,42;7,97;0,82;0,35;11,10;4,19;7,81;14,87;21,87;7,82;0,43;0,62;1,72;-0,75;1,61;10,33;4,38;1,55;0,42;0,57;0,56;6,33;7,07;8.778.838,38;3,16;0,33;0,63;2.325.271.195,60
PORT3;8,75;5,11;11,66;1,73;0,73;43,22;24,93;15,28;7,15;11,12;3,92;0,95;1,78;26,51;-0,86;1,20;14,84;6,22;9,52;0,42;0,58;0,41;6,17;2,45;2.365.293,63;5,06;0,75;0,13;3.880.523.052,00
POSI3;7,52;4,52;6,15;0,97;0,26;21,95;10,11;4,66;2,83;4,59;1,73;0,59;0,29;0,75;-1,67;1,69;15,74;4,18;15,56;0,27;0,73;0,90;14,02;81,35;10.840.206,29;7,77;1,22;-0,22;1.074.844.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;5.388.846,38;11,02;0,46;-1,77;977.237.930,40
PRIO3;23,35;;8,35;3,07;1,60;59,99;52,28;46,82;7,48;7,25;-0,23;-0,09;3,91;3,49;-3,40;7,52;36,71;19,19;23,73;0,52;0,48;0,41;61,68;59,16;364.571.052,58;7,62;2,80;0,01;20.618.619.553,60
PSSA3;19,56;3,71;8,88;1,36;0,30;100,00;4,66;6,40;12,18;3,30;-8,87;-0,99;0,57;5,73;-0,86;1,09;15,32;3,35;10,76;0,22;0,78;0,52;5,64;9,25;22.336.556,71;14,38;2,20;-0,47;12.640.757.473,00
PTBL3;8,48;8,59;5,60;2,93;0,57;43,90;15,91;10,56;3,72;5,31;1,57;1,24;0,59;4,06;-1,09;1,42;52,24;10,24;26,60;0,20;0,80;0,97;13,47;151,40;4.963.291,33;2,90;1,51;0,13;1.204.028.006,44
QUAL3;11,55;2,21;10,08;2,44;0,75;79,79;29,18;15,68;5,42;7,72;2,22;1,00;1,58;-2,51;-1,03;0,48;24,23;7,39;13,29;0,31;0,69;0,47;1,31;-4,27;30.689.945,00;4,73;1,15;-0,40;3.328.647.889,00
RADL3;22,33;1,12;44,97;7,36;2,28;30,38;5,82;3,11;24,01;24,87;1,01;0,31;1,40;11,36;-5,11;1,57;16,36;5,07;18,28;0,31;0,69;1,63;16,47;12,88;124.230.141,33;3,04;0,50;4,35;36.656.326.700,00
RAIZ4;5,10;1,29;16,77;2,37;0,53;6,12;3,23;1,65;8,56;12,50;3,96;1,10;0,28;7,96;-0,99;1,16;14,15;3,14;9,49;0,22;0,78;1,91;;;39.431.649,54;2,15;0,30;0,08;52.694.273.273,56
RANI3;7,42;8,27;5,33;1,84;0,72;44,91;31,80;21,25;3,56;4,75;1,16;0,60;1,13;3,21;-1,12;2,79;34,64;13,60;19,31;0,39;0,61;0,64;15,63;;8.658.769,13;4,02;1,39;0,06;1.920.267.357,80
RAPT4;11,34;6,39;5,38;1,42;0,34;24,95;11,93;7,21;3,25;5,62;2,57;1,12;0,39;1,17;-0,91;1,83;26,43;6,24;12,66;0,24;0,70;0,87;28,12;;21.771.160,63;7,97;2,11;-0,42;3.505.322.624,12
RDOR3;34,39;4,02;48,91;5,09;1,34;22,42;17,10;6,72;19,22;23,59;4,13;1,09;3,29;4,92;-2,25;3,07;10,40;2,74;8,15;0,26;0,71;0,41;;;133.818.184,25;6,76;0,70;0,47;70.000.984.337,10
RECV3;23,57;0,69;11,66;3,31;1,37;43,36;37,30;39,49;12,34;12,31;-0,16;-0,04;4,60;-25,62;-1,78;0,81;28,37;11,72;13,59;0,41;0,59;0,30;;;33.784.534,04;7,13;2,02;;6.972.183.497,04
RENT3;62,12;1,34;29,32;7,58;2,28;45,36;32,06;19,22;17,58;19,89;2,35;1,01;5,64;16,59;-3,23;1,87;25,87;7,78;11,88;0,30;0,70;0,40;19,68;38,41;314.773.305,13;8,19;2,12;0,49;60.832.292.434,00
ROMI3;14,08;6,94;5,07;1,06;0,51;30,48;13,57;13,88;5,19;7,56;2,33;0,48;0,70;1,73;-1,30;1,94;20,97;10,06;12,61;0,48;0,52;0,72;18,71;;4.253.063,25;13,24;2,78;0,53;1.040.608.353,18
SANB11;28,72;10,61;7,20;1,00;0,11;30,30;15,31;13,58;6,38;6,37;;;0,98;;-0,11;;13,85;1,54;;0,11;0,89;0,11;0,22;15,28;72.223.074,25;28,75;3,98;-0,93;107.191.501.374,05
SANB3;13,75;10,57;6,89;0,95;0,11;30,30;15,31;13,58;6,11;6,37;;;0,94;;-0,11;;13,85;1,54;;0,11;0,89;0,11;0,22;15,28;3.137.184,75;14,38;1,99;-0,89;107.191.501.374,05
SANB4;15,00;10,64;7,52;1,04;0,12;30,30;15,31;13,58;6,67;6,37;;;1,02;;-0,12;;13,85;1,54;;0,11;0,89;0,11;0,22;15,28;3.633.783,63;14,38;1,99;-0,97;107.191.501.374,05
SAPR11;19,35;6,00;4,78;0,72;0,37;59,89;36,04;22,71;3,01;4,65;1,62;0,39;1,09;4,41;-0,45;1,94;15,07;7,83;11,65;0,52;0,48;0,34;8,40;14,30;17.681.727,50;26,86;4,05;0,20;5.878.589.468,91
SAPR4;3,92;6,04;4,84;0,73;0,38;59,89;36,04;22,71;3,05;4,65;1,62;0,39;1,10;4,47;-0,46;1,94;15,07;7,83;11,65;0,52;0,48;0,34;8,40;14,30;5.709.724,04;5,37;0,81;0,20;5.878.589.468,91
SBFG3;23,42;0,50;10,17;2,50;0,76;46,34;8,55;9,35;11,13;15,32;4,12;0,93;0,95;3,40;-1,49;1,85;24,60;7,49;5,88;0,30;0,70;0,80;22,57;;26.511.770,50;9,36;2,30;-0,01;5.727.463.378,54
SBSP3;46,69;2,02;11,47;1,23;0,59;34,63;20,96;14,15;7,74;11,18;3,45;0,55;1,62;17,89;-0,68;1,34;10,75;5,15;6,93;0,48;0,52;0,36;6,69;-1,13;86.829.863,04;37,90;4,07;0,37;31.919.910.882,30
SEER3;6,52;1,88;206,16;0,58;0,25;53,42;10,65;0,28;5,35;7,87;2,52;0,28;0,57;17,35;-0,31;1,09;0,28;0,12;7,66;0,43;0,57;0,44;4,57;-55,34;3.089.904,25;11,22;0,03;-2,11;843.126.218,00
SIMH3;11,23;5,53;10,24;3,19;0,20;33,04;23,68;5,81;2,51;7,33;4,82;6,12;0,59;0,71;-0,35;2,79;31,12;1,93;8,28;0,06;0,89;0,33;16,28;;19.631.677,04;3,52;1,10;0,08;9.415.320.818,07
SLCE3;42,19;5,75;6,12;1,91;0,60;36,69;31,78;17,74;3,42;4,12;0,72;0,40;1,09;2,94;-1,15;1,73;31,18;9,76;25,20;0,31;0,67;0,55;30,68;117,70;66.551.359,54;22,11;6,89;0,05;8.938.742.965,92
SMTO3;34,35;6,40;8,19;2,51;0,84;42,31;42,18;25,89;5,03;7,14;2,11;1,05;2,12;4,78;-1,24;2,21;30,58;10,29;17,08;0,34;0,66;0,40;16,99;39,15;40.302.142,25;13,68;4,18;0,14;12.124.888.018,25
SOJA3;11,11;0,36;10,52;2,02;1,31;14,20;11,48;11,19;10,26;10,18;-0,15;-0,03;1,18;3,14;-4,47;2,44;19,15;12,44;15,69;0,65;0,35;1,11;;;1.655.506,33;5,51;1,06;0,12;1.309.628.844,68
SOMA3;11,67;0,78;27,97;1,28;0,89;56,50;6,90;9,48;38,42;43,42;3,75;0,12;2,65;5,70;-1,27;2,14;4,57;3,19;1,30;0,70;0,30;0,34;;;43.076.532,17;9,14;0,42;-0,01;9.456.205.844,65
SQIA3;18,86;0,35;52,49;2,14;1,15;39,63;9,38;7,50;42,00;45,96;3,59;0,18;3,94;-73,10;-1,30;0,88;4,08;2,19;3,27;0,54;0,46;0,29;33,05;30,83;7.937.303,08;8,85;0,36;0,11;1.681.450.504,64
