TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TASA4;19,48;8,34;3,10;2,67;1,13;48,79;36,25;26,59;2,28;2,46;0,19;0,22;0,82;4,48;-3,68;1,58;86,01;36,57;50,46;0,43;0,57;1,38;26,98;;7.480.805,13;7,30;6,28;0,06;2.354.940.976,28
TECN3;2,32;3,49;6,57;0,55;0,28;52,78;16,70;8,11;3,19;3,96;0,77;0,13;0,53;0,60;-0,80;3,81;8,38;4,32;10,61;0,52;0,48;0,53;-2,72;;1.217.954,42;4,22;0,35;-0,02;177.494.418,80
TFCO4;11,30;1,10;119,32;37,27;22,15;59,33;22,80;18,60;97,34;16,47;0,09;0,03;22,19;42,23;-93,23;3,20;31,24;18,56;24,94;0,59;0,41;1,00;;;3.038.749,38;0,30;0,09;0,71;1.804.813.416,95
TGMA3;15,16;6,16;8,87;1,41;1,01;18,25;11,91;10,43;7,77;7,86;0,10;0,02;0,92;3,43;-1,86;2,88;15,95;11,44;13,69;0,72;0,28;1,10;1,74;52,18;2.625.546,58;10,72;1,71;0,94;1.000.604.191,40
TIMS3;12,57;3,82;11,30;1,20;0,56;52,43;20,24;13,88;7,75;11,43;3,68;0,57;1,57;-32,79;-0,67;0,90;10,63;4,96;8,96;0,47;0,53;0,36;2,95;29,12;82.184.070,50;10,46;1,11;0,83;30.429.511.282,86
TOTS3;27,79;1,15;41,73;3,96;1,68;67,02;15,14;11,20;30,85;29,38;-1,47;-0,19;4,67;6,73;-4,14;1,72;9,49;4,02;7,04;0,42;0,55;0,36;8,34;21,91;100.658.019,88;7,02;0,67;1,83;17.151.520.599,99
TRIS3;4,54;4,84;8,87;0,69;0,37;35,09;18,15;12,98;6,34;8,59;2,25;0,24;1,15;0,70;-1,34;3,72;7,76;4,17;6,10;0,54;0,44;0,32;20,68;105,70;4.247.361,00;6,60;0,51;-0,20;847.243.622,52
TRPL4;23,60;6,29;5,50;1,00;0,50;69,24;74,10;47,45;3,52;5,40;1,56;0,44;2,61;4,25;-0,58;7,49;18,13;9,07;15,71;0,50;0,49;0,19;-6,60;-10,52;38.818.632,92;23,68;4,29;-0,28;16.955.406.613,80
TTEN3;9,35;0,16;10,64;2,01;0,92;12,87;5,99;7,46;13,25;13,17;-0,08;-0,01;0,79;2,51;-3,92;1,93;18,93;8,69;8,40;0,46;0,54;1,16;;;5.513.484,29;4,64;0,88;0,22;4.639.634.999,45
TUPY3;24,10;1,79;11,78;1,30;0,50;16,37;6,98;3,73;6,30;8,83;2,53;0,52;0,44;1,46;-1,31;2,24;11,06;4,24;9,55;0,38;0,62;1,14;16,82;;15.299.222,08;18,49;2,05;0,08;3.474.677.750,00
UGPA3;13,53;5,79;9,12;1,39;0,42;3,99;2,03;1,32;5,93;9,24;3,32;0,78;0,12;2,05;-0,95;1,57;15,26;4,56;9,80;0,30;0,69;3,46;7,24;1,16;61.514.962,46;9,72;1,48;0,08;15.088.291.772,40
UNIP3;81,75;17,20;3,94;3,21;1,32;45,28;46,62;31,36;2,65;2,59;-0,14;-0,16;1,24;5,21;-2,63;2,02;81,47;33,34;50,24;0,41;0,59;1,06;47,87;50,28;2.597.734,79;25,44;20,72;0,02;8.711.469.937,25
UNIP6;85,00;18,20;4,10;3,34;1,37;45,28;46,62;31,36;2,76;2,59;-0,14;-0,16;1,29;5,41;-2,73;2,02;81,47;33,34;50,24;0,41;0,59;1,06;47,87;50,28;19.000.906,33;25,44;20,72;0,02;8.711.469.937,25
USIM3;8,49;20,54;1,76;0,45;0,26;27,12;22,57;18,09;1,41;1,50;0,06;0,02;0,32;0,69;-0,54;3,51;25,44;14,66;19,98;0,58;0,36;0,81;31,89;;4.917.352,75;18,98;4,83;-0,18;10.863.247.180,76
USIM5;8,90;21,55;1,84;0,47;0,27;27,12;22,57;18,09;1,48;1,50;0,06;0,02;0,33;0,72;-0,56;3,51;25,44;14,66;19,98;0,58;0,36;0,81;31,89;;148.634.981,92;18,98;4,83;-0,19;10.863.247.180,76
VALE3;67,39;17,68;3,11;1,73;0,73;53,70;43,70;41,78;2,97;3,23;0,26;0,15;1,30;15,74;-0,90;1,32;55,74;23,46;34,13;0,42;0,56;0,56;25,41;50,75;2.115.902.617,46;38,91;21,69;0,23;322.049.347.433,57
VAMO3;14,74;1,33;29,18;5,00;1,14;39,40;29,73;13,05;12,81;16,76;3,95;1,54;3,81;6,34;-1,75;2,05;17,13;3,90;9,05;0,23;0,77;0,30;571,04;549,36;26.209.097,88;2,95;0,51;0,37;14.400.802.677,80
VBBR3;18,46;3,15;9,23;1,71;0,58;5,05;1,91;1,64;7,91;11,43;3,53;0,76;0,15;2,12;-1,20;2,15;18,52;6,32;7,90;0,34;0,66;3,86;8,47;;174.972.369,50;10,80;2,00;-0,21;21.505.900.000,00
VITT3;9,74;2,34;12,58;2,81;1,58;36,15;17,65;13,58;9,67;11,35;1,68;0,49;1,71;4,73;-5,30;1,91;22,36;12,60;15,83;0,56;0,43;0,93;;;1.108.987,21;3,46;0,77;0,51;1.393.298.302,18
VIVA3;24,40;1,35;16,93;4,14;2,25;67,90;20,81;21,47;17,46;16,92;-0,53;-0,13;3,63;6,34;-5,88;2,35;24,45;13,28;17,05;0,54;0,46;0,62;;;21.233.184,29;5,90;1,44;0,11;5.763.225.563,60
VIVT3;45,35;7,89;13,90;1,12;0,63;43,12;14,59;11,97;11,40;13,39;1,99;0,19;1,66;-9,77;-0,74;0,70;8,04;4,56;7,24;0,57;0,43;0,38;0,71;6,02;82.843.164,50;40,57;3,26;0,98;76.049.150.589,85
VLID3;10,48;2,77;18,56;0,76;0,29;24,98;7,70;2,04;4,91;9,49;4,58;0,71;0,38;1,97;-0,53;1,48;4,07;1,57;7,11;0,39;0,60;0,77;4,98;-12,01;2.529.588,33;13,88;0,56;-0,15;864.342.632,16
VULC3;12,43;2,82;8,36;2,02;1,40;35,86;17,39;15,96;7,67;8,16;0,49;0,13;1,33;3,26;-4,12;2,87;24,18;16,75;21,13;0,69;0,31;1,05;10,48;59,24;4.360.869,21;6,15;1,49;0,11;3.054.750.112,92
VVEO3;17,86;2,27;11,16;2,33;0,75;17,97;8,30;6,91;9,28;9,88;0,60;0,15;0,77;2,09;-2,19;2,20;20,87;6,72;12,62;0,32;0,68;0,97;;;2.395.052,42;7,67;1,60;0,05;5.110.163.209,60
WEGE3;28,94;1,62;34,28;9,06;4,69;27,88;15,77;13,25;28,79;28,74;-0,05;-0,02;4,54;16,97;-14,61;1,69;26,42;13,69;21,22;0,52;0,47;1,03;20,26;25,96;212.201.454,33;3,20;0,84;4,36;121.470.382.862,12
WIZS3;7,89;7,45;7,79;3,60;0,66;59,67;40,34;20,07;3,88;4,05;0,18;0,16;1,56;-25,09;-0,77;0,84;46,25;8,50;21,78;0,18;0,55;0,42;15,13;2,22;5.778.396,92;2,19;1,01;-0,36;1.261.668.454,98
YDUQ3;14,90;0,85;24,11;1,40;0,46;55,33;13,49;4,24;7,58;13,88;6,30;1,17;1,02;3,51;-0,64;1,84;5,82;1,90;6,22;0,33;0,67;0,45;6,64;-12,30;54.129.661,54;10,61;0,62;-0,03;4.605.423.879,90
