TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BRKM5;34,27;26,95;4,17;2,89;0,30;22,29;14,42;6,02;1,74;3,20;1,33;2,21;0,25;1,92;-0,53;1,55;69,12;7,13;33,61;0,10;0,91;1,18;17,25;;64.928.897,26;11,88;8,21;-0,14;29.230.870.869,14
BRML3;8,85;0,61;15,54;0,67;0,40;89,71;65,57;36,02;8,53;11,16;2,63;0,21;5,60;7,85;-0,44;2,26;4,30;2,57;5,72;0,60;0,40;0,07;-2,54;22,47;68.881.053,44;13,25;0,57;0,07;7.330.223.873,40
BRSR6;11,17;10,52;5,09;0,51;0,04;40,36;7,41;8,28;5,69;6,03;;;0,42;0,78;-0,04;4,22;9,92;0,81;;0,08;0,92;0,10;-5,99;4,25;17.840.547,18;22,10;2,19;-0,83;4.836.879.849,80
CAML3;10,18;3,54;33,63;1,31;0,42;21,00;7,18;1,19;5,57;9,06;3,49;0,82;0,40;1,34;-1,16;2,01;3,89;1,26;9,39;0,32;0,68;1,06;12,75;-11,57;17.062.782,53;7,78;0,30;-0,44;3.664.800.000,00
CARD3;13,84;5,90;8,78;1,65;1,00;34,75;18,45;12,62;6,00;6,22;0,22;0,06;1,11;32,44;-1,41;1,12;18,79;11,41;15,68;0,61;0,39;0,90;1,99;13,55;1.867.793,59;8,39;1,58;0,40;578.512.000,00
CBAV3;13,30;2,17;6,50;1,45;0,65;26,08;34,42;36,54;6,90;8,16;1,25;0,26;2,38;2,88;-1,02;2,57;22,36;9,95;12,00;0,45;0,54;0,27;;;44.282.897,59;9,15;2,04;-0,02;7.924.583.328,90
CCRO3;14,20;1,15;7,56;2,45;0,60;59,52;52,73;21,51;3,08;5,35;2,26;1,80;1,63;6,44;-0,77;1,70;32,45;7,92;16,17;0,24;0,75;0,37;4,14;17,23;100.804.827,85;5,79;1,88;0,02;28.684.000.000,00
CEAB3;3,31;;4,12;0,36;0,11;48,13;1,57;4,11;10,80;23,75;12,95;0,43;0,17;0,86;-0,22;1,37;8,71;2,75;-5,69;0,32;0,68;0,67;1,51;;17.274.376,47;9,23;0,80;0,00;1.020.291.175,08
CEBR6;11,70;142,20;4,41;0,97;0,57;54,57;62,41;46,43;3,28;0,78;-2,85;-0,84;2,05;1,50;-1,49;2,61;22,01;12,94;16,72;0,59;0,25;0,28;-30,49;11,19;203.468,91;12,04;2,65;-0,05;932.083.003,80
CESP6;25,25;;24,73;1,09;0,57;57,25;48,45;14,48;7,39;8,70;1,28;0,19;3,58;60,78;-0,62;1,13;4,41;2,32;9,43;0,53;0,47;0,16;6,56;-0,96;75.751.511,28;23,16;1,02;-0,31;8.302.192.833,55
CGRA4;33,45;8,51;3,80;0,81;0,55;54,01;24,60;24,94;3,85;3,39;-0,51;-0,11;0,95;2,10;-1,07;2,14;21,30;14,40;14,97;0,68;0,32;0,58;9,46;21,58;294.492,85;41,33;8,80;0,11;653.610.434,85
CIEL3;5,59;3,98;12,55;1,44;0,14;33,93;18,87;10,57;7,03;8,41;1,38;0,28;1,33;1,16;-1,11;1,17;11,45;1,15;8,48;0,10;0,87;0,11;-1,02;-21,29;119.488.739,12;3,89;0,45;0,26;15.186.996.190,99
CLSC4;62,53;9,49;5,67;0,83;0,21;12,89;7,31;4,77;3,70;5,39;1,98;0,45;0,27;4,27;-0,30;1,19;14,68;3,64;9,24;0,25;0,75;0,76;13,22;;388.648,26;75,16;11,04;-0,19;2.225.866.483,97
CMIG3;19,46;7,54;14,83;2,07;0,84;16,67;13,32;8,20;9,13;8,64;1,59;0,36;1,22;14,87;-1,11;1,30;13,97;5,66;14,67;0,40;0,60;0,69;12,38;53,92;10.272.234,03;9,39;1,31;-0,46;33.092.945.212,88
CMIG4;12,81;11,45;9,76;1,36;0,55;16,67;13,32;8,20;6,01;8,64;1,59;0,36;0,80;9,79;-0,73;1,30;13,97;5,66;14,67;0,40;0,60;0,69;12,38;53,92;83.026.211,09;9,39;1,31;-0,31;33.092.945.212,88
CMIN3;3,93;13,89;7,02;1,69;0,89;42,08;35,19;25,02;4,99;4,77;-0,22;-0,07;1,76;3,77;-1,48;2,50;24,11;12,73;16,34;0,53;0,47;0,51;;;30.807.096,15;2,32;0,56;-0,12;21.557.381.633,34
COCE5;48,60;5,98;7,25;1,03;0,32;18,02;13,63;5,84;3,11;5,92;3,17;1,05;0,42;-9,78;-0,44;0,89;14,18;4,36;13,55;0,31;0,69;0,75;14,63;5,82;382.956,59;47,25;6,70;0,35;3.344.063.015,07
COGN3;2,58;;-11,55;0,38;0,17;59,49;5,24;-8,64;19,04;41,90;22,86;0,46;1,00;2,20;-0,23;1,49;-3,32;-1,50;0,91;0,45;0,51;0,17;-1,85;;69.294.114,44;6,72;-0,22;0,13;4.841.644.021,80
CPFE3;36,23;15,02;8,27;2,57;0,62;26,39;21,58;12,40;4,75;6,84;2,09;1,13;1,03;12,03;-0,83;1,27;31,08;7,56;17,15;0,24;0,73;0,61;15,46;41,16;62.368.619,91;14,10;4,38;0,52;41.746.178.361,20
CPLE11;35,20;16,31;5,76;0,94;0,39;19,93;19,24;13,70;4,10;6,07;1,97;0,45;0,79;7,46;-0,49;1,34;16,24;6,79;12,11;0,42;0,57;0,50;12,85;30,15;9.867.717,97;37,63;6,11;-1,16;19.265.338.400,00
CPLE3;6,63;16,04;5,42;0,88;0,37;19,93;19,24;13,70;3,86;6,07;1,97;0,45;0,74;7,03;-0,46;1,34;16,24;6,79;12,11;0,42;0,57;0,50;12,85;30,15;4.261.452,82;7,53;1,22;-1,09;19.265.338.400,00
CPLE6;7,14;16,38;5,84;0,95;0,40;19,93;19,24;13,70;4,16;6,07;1,97;0,45;0,80;7,57;-0,50;1,34;16,24;6,79;12,11;0,42;0,57;0,50;12,85;30,15;49.418.190,18;7,53;1,22;-1,17;19.265.338.400,00
CRFB3;20,69;2,81;16,45;2,18;0,55;18,75;5,68;3,04;8,81;11,61;2,80;0,69;0,50;-15,36;-0,96;0,92;13,27;3,34;10,44;0,25;0,73;1,10;10,34;17,64;69.728.469,03;9,48;1,26;-1,10;43.512.042.016,20
CRPG5;30,01;9,78;5,97;0,99;0,77;16,49;13,53;15,66;6,91;6,69;-1,09;-0,16;0,94;1,67;-1,82;4,88;16,51;12,83;13,93;0,78;0,22;0,82;17,77;11,67;202.880,32;30,45;5,03;-0,12;980.461.711,89
CSAN3;21,39;3,75;8,14;2,56;0,42;23,73;28,95;15,84;4,45;7,92;3,47;2,00;1,29;3,53;-0,56;1,89;31,49;5,13;11,19;0,16;0,68;0,32;26,99;36,60;98.150.336,00;8,35;2,63;0,08;40.086.377.235,48
CSED3;4,21;3,11;28,24;1,11;0,33;47,74;17,40;2,95;4,78;5,31;0,17;0,04;0,83;2,64;-0,45;2,05;3,91;1,16;12,98;0,30;0,70;0,40;;;1.429.894,44;3,78;0,15;-1,15;1.607.471.630,40
CSMG3;13,66;4,82;12,12;0,74;0,42;33,75;12,42;7,10;6,93;10,84;3,91;0,42;0,86;13,71;-0,50;1,21;6,10;3,43;6,30;0,56;0,44;0,48;7,89;-0,26;19.662.961,15;18,46;1,13;-0,22;5.194.256.922,54
CSNA3;15,82;5,52;6,07;0,99;0,27;36,21;26,97;8,05;1,81;3,38;1,57;0,86;0,49;1,63;-0,47;1,68;16,25;4,50;12,86;0,28;0,69;0,56;22,81;;165.705.843,50;16,04;2,61;-0,08;20.978.806.241,54
CURY3;8,11;8,47;7,41;3,65;0,81;37,18;20,66;15,99;5,74;5,05;-0,68;-0,43;1,18;3,11;-3,08;1,55;49,26;10,95;30,59;0,22;0,73;0,68;;;10.580.702,65;2,22;1,09;0,03;2.367.106.963,68
CXSE3;9,03;5,98;11,90;2,48;2,45;;;;10,38;10,14;-0,37;-0,09;;38,98;-2,65;13,42;20,46;20,26;20,07;0,99;0,01;0,00;;15,87;15.783.848,79;3,64;0,76;0,48;27.090.000.000,00
CYRE3;15,05;3,75;7,84;0,93;0,41;32,67;17,69;15,09;6,68;8,51;1,83;0,25;1,18;1,14;-0,90;2,90;11,84;5,21;7,14;0,44;0,52;0,35;8,44;38,37;82.658.187,09;16,22;1,92;-0,12;6.016.129.124,95
DASA3;21,40;1,41;-67,95;1,61;0,48;29,20;6,23;-1,49;16,24;26,19;9,96;0,98;1,01;7,76;-0,66;1,29;-2,36;-0,70;4,22;0,30;0,70;0,47;27,93;;5.109.844,71;13,33;-0,31;-0,35;11.996.374.849,60
