TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TAEE4;14,35;8,92;6,69;2,05;0,85;84,47;102,90;66,02;4,29;6,11;1,80;0,86;4,41;7,83;-1,05;2,32;30,61;12,75;20,58;0,42;0,58;0,19;20,07;20,80;1.417.175,26;7,01;2,15;-0,69;14.892.687.749,61
TASA3;19,00;8,55;3,03;2,60;1,11;48,79;36,25;26,59;2,22;2,41;0,19;0,22;0,80;4,37;-3,59;1,58;86,01;36,57;50,46;0,43;0,57;1,38;26,98;;392.673,30;7,30;6,28;0,05;2.305.067.840,00
TASA4;19,00;8,55;3,03;2,60;1,11;48,79;36,25;26,59;2,22;2,41;0,19;0,22;0,80;4,37;-3,59;1,58;86,01;36,57;50,46;0,43;0,57;1,38;26,98;;7.963.438,78;7,30;6,28;0,05;2.305.067.840,00
TCSA3;2,99;;-1,33;0,38;0,14;4,93;-69,25;-102,63;-1,97;-5,50;-3,52;0,67;1,37;0,41;-0,28;3,14;-28,36;-10,58;-9,31;0,37;0,57;0,10;-15,57;;842.787,26;7,92;-2,25;-0,05;220.121.497,70
TECN3;2,41;3,36;5,25;0,53;0,29;52,73;16,33;9,71;3,13;4,12;0,99;0,17;0,51;0,58;-0,81;4,27;10,15;5,46;11,51;0,54;0,46;0,56;-2,72;;1.393.470,96;4,52;0,46;0,02;179.559.978,15
TEND3;5,24;;-1,77;0,53;0,12;10,95;-12,29;-12,64;-1,82;-4,02;-2,20;0,64;0,22;0,70;-0,25;1,55;-29,70;-7,01;-13,66;0,24;0,76;0,55;19,26;;20.428.796,56;9,98;-2,96;0,01;545.720.406,58
TFCO4;10,68;1,16;112,77;35,23;20,93;59,33;22,80;18,60;92,00;15,57;0,09;0,03;20,97;39,91;-88,12;3,20;31,24;18,56;24,94;0,59;0,41;1,00;;;3.260.321,41;0,30;0,09;0,67;1.705.788.256,02
TGMA3;15,84;6,13;9,27;1,48;1,06;18,25;11,91;10,43;8,12;8,21;0,10;0,02;0,97;3,58;-1,94;2,88;15,95;11,44;13,69;0,72;0,28;1,10;1,74;52,18;2.990.343,67;10,72;1,71;0,98;1.045.486.173,60
TIMS3;12,87;3,73;11,57;1,23;0,57;52,43;20,24;13,88;7,93;11,62;3,68;0,57;1,61;-33,57;-0,68;0,90;10,63;4,96;8,96;0,47;0,53;0,36;2,95;29,12;86.325.082,93;10,46;1,11;0,85;31.228.376.734,20
TOTS3;28,10;0,82;42,19;4,00;1,70;67,02;15,14;11,20;31,20;29,72;-1,47;-0,19;4,72;6,81;-4,19;1,72;9,49;4,02;7,04;0,42;0,55;0,36;8,34;21,91;102.286.702,00;7,02;0,67;1,85;17.349.019.217,91
