TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
RADL3;25,98;1,40;48,93;8,53;2,61;30,40;6,04;3,18;25,77;26,90;1,13;0,37;1,56;13,68;-5,88;1,52;17,44;5,33;20,49;0,31;0,69;1,68;16,47;14,50;200.156.352,92;3,06;0,53;2,64;43.115.373.000,00
RAIL3;20,30;0,10;-102,27;2,54;0,83;26,47;18,76;-4,50;24,53;31,44;6,91;0,72;4,60;8,76;-1,05;1,85;-2,49;-0,81;4,80;0,33;0,67;0,18;11,53;;280.583.630,96;7,95;-0,20;0,65;37.491.090.754,02
RAIZ4;4,48;1,82;15,96;2,08;0,46;5,33;2,78;1,30;7,46;11,40;3,94;1,10;0,21;6,98;-0,87;1,16;13,03;2,89;10,57;0,22;0,78;2,23;;;58.765.686,04;2,15;0,28;0,44;46.275.717.393,48
RANI3;8,89;7,16;6,23;2,04;0,82;46,29;33,21;21,01;3,95;5,10;1,16;0,60;1,31;7,09;-1,18;1,60;32,67;13,14;19,48;0,40;0,60;0,63;15,63;;11.948.605,00;4,42;1,44;0,16;2.217.233.871,00
RAPT4;9,82;7,31;4,83;1,21;0,28;24,57;11,47;6,58;2,77;5,11;2,42;1,05;0,32;0,82;-0,78;2,08;24,97;5,71;11,97;0,23;0,68;0,87;28,12;;21.730.965,80;8,22;2,05;-0,22;3.167.920.689,41
RDOR3;32,75;1,28;49,56;4,85;1,17;22,15;17,20;6,14;17,68;21,87;4,19;1,15;3,04;4,13;-2,08;2,87;9,79;2,36;7,85;0,24;0,74;0,39;;;185.100.729,00;6,74;0,66;-6,58;65.739.005.968,50
RECV3;34,41;0,47;16,36;3,19;1,64;45,88;40,75;32,37;13,00;11,64;-1,36;-0,33;5,30;21,27;-2,52;1,29;19,50;10,05;15,52;0,52;0,48;0,31;;;70.726.993,48;10,99;2,14;0,02;10.277.701.004,72
RENT3;70,29;1,51;33,49;8,34;2,30;46,27;33,01;18,70;18,97;21,46;2,49;1,10;6,26;20,99;-3,27;1,58;24,91;6,86;11,76;0,28;0,72;0,37;19,68;38,53;480.338.578,40;8,54;2,13;1,29;69.937.512.978,96
ROMI3;16,57;4,94;7,40;1,39;0,67;31,31;14,74;12,19;6,12;8,21;2,10;0,48;0,90;2,27;-1,70;1,94;18,81;9,02;11,06;0,48;0,52;0,74;18,71;;11.265.434,92;12,04;2,26;-0,33;1.351.984.182,64
RRRP3;46,85;;-44,84;2,55;1,65;60,31;38,79;-18,10;20,92;20,08;-0,84;-0,10;8,12;-156,93;-1,92;0,93;-5,68;-3,68;11,32;0,65;0,35;0,20;;;185.803.262,64;19,15;-1,09;-8,15;9.878.438.483,28
SANB11;31,14;7,12;8,15;1,10;0,12;25,83;14,67;12,09;6,72;6,72;;;0,99;;-0,12;;13,45;1,49;;0,11;0,89;0,12;0,22;14,60;87.902.588,88;28,75;3,87;-0,76;118.101.864.053,25
